recv_wall_ns,send_wall_ns,delay_ms,sim_s,seq,veh,edge,x,y,speed,bytes
1761732231699823000,1761732231699061000,0.762,37.000,128,veh5,:7690525281_1,2309.740,1257.480,15.570,411
1761732231699823000,1761732231699396000,0.427,37.000,129,veh6,:1318414077_1,1599.720,1423.260,12.430,411
1761732231699823000,1761732231699678000,0.145,37.000,130,veh7,1239033319,1542.140,779.820,11.370,411
1761732231720488000,1761732231719148000,1.340,38.000,131,veh1,:2246072607_9,2587.380,935.770,6.830,410
1761732231720488000,1761732231719415000,1.073,38.000,132,veh2,215189962,1077.350,632.520,11.920,410
1761732231720488000,1761732231719642000,0.846,38.000,133,veh3,215210648#1,3036.280,1231.510,3.470,410
1761732231720488000,1761732231719877000,0.611,38.000,134,veh5,823695811#10,2292.460,1259.510,17.400,410
1761732231720488000,1761732231720134000,0.354,38.000,135,veh6,:1318414087_2,1611.340,1425.390,11.890,410
1761732231720488000,1761732231720392000,0.096,38.000,136,veh7,1239033319,1531.770,780.210,10.600,410
1761732231741755000,1761732231740365000,1.390,39.000,137,veh1,-1150602221#1,2589.040,943.270,7.810,501
1761732231741755000,1761732231740586000,1.169,39.000,138,veh10,348677588#0,1325.660,1268.280,14.530,501
1761732231741755000,1761732231740797000,0.958,39.000,139,veh2,215189962,1078.540,619.620,12.960,501
1761732231741755000,1761732231741018000,0.737,39.000,140,veh3,:cluster_2155675797_7690529887_6,3035.370,1225.560,6.020,501
1761732231741755000,1761732231741238000,0.517,39.000,141,veh5,823695811#10,2273.210,1261.710,19.370,501
1761732231741755000,1761732231741462000,0.293,39.000,142,veh6,:1318414087_2,1624.540,1423.270,13.550,501
1761732231741755000,1761732231741677000,0.078,39.000,143,veh7,1239033319,1520.670,782.380,11.310,501
1761732231763717000,1761732231762134000,1.583,40.000,144,veh1,-1150602221#1,2592.650,952.170,9.600,499
1761732231763717000,1761732231762408000,1.309,40.000,145,veh10,348677588#0,1320.150,1255.480,13.940,499
1761732231763717000,1761732231762676000,1.041,40.000,146,veh2,215189962,1079.680,607.220,12.450,499
1761732231763717000,1761732231762924000,0.793,40.000,147,veh3,:cluster_2155675797_7690529887_6,3033.140,1217.610,8.290,499
1761732231763717000,1761732231763166000,0.551,40.000,148,veh5,823695811#10,2252.260,1264.170,21.100,499
1761732231763717000,1761732231763399000,0.318,40.000,149,veh6,117032949#1,1634.580,1414.750,13.340,499
1761732231763717000,1761732231763631000,0.086,40.000,150,veh7,1239033319,1510.540,784.370,10.320,499
1761732231784263000,1761732231782983000,1.280,41.000,151,veh1,-1150602221#1,2597.210,963.480,12.190,481
1761732231784263000,1761732231783208000,1.055,41.000,152,veh10,348677588#0,1315.990,1245.780,10.550,481
1761732231784263000,1761732231783416000,0.847,41.000,153,veh2,215189962,1080.550,594.760,12.520,481
1761732231784263000,1761732231783611000,0.652,41.000,154,veh3,1099969560#2,3025.780,1212.070,9.870,481
1761732231784263000,1761732231783797000,0.466,41.000,155,veh5,823695811#10,2229.340,1265.840,22.990,481
1761732231784263000,1761732231783997000,0.266,41.000,156,veh6,:1318414085_0,1638.660,1406.810,9.040,481
1761732231784263000,1761732231784202000,0.061,41.000,157,veh7,1239033319,1499.760,786.480,10.990,481
1761732231806387000,1761732231804621000,1.766,42.000,158,veh1,-1150602221#1,2602.010,977.100,14.440,553
1761732231806387000,1761732231804870000,1.517,42.000,159,veh10,:3547296506_4,1315.260,1239.980,6.050,553
1761732231806387000,1761732231805102000,1.285,42.000,160,veh11,-416318901#0,2878.740,1274.210,0.000,553
1761732231806387000,1761732231805331000,1.056,42.000,161,veh2,215189962,1074.580,585.760,12.040,553
1761732231806387000,1761732231805585000,0.802,42.000,162,veh3,1099969560#2,3014.490,1212.630,11.310,553
1761732231806387000,1761732231805817000,0.570,42.000,163,veh5,823695811#11,2204.180,1266.260,25.170,553
1761732231806387000,1761732231806070000,0.317,42.000,164,veh6,:1318414085_0,1642.910,1398.370,9.590,553
1761732231806387000,1761732231806326000,0.061,42.000,165,veh7,1239033319,1488.580,788.670,11.390,553
1761732231828044000,1761732231826471000,1.573,43.000,166,veh1,-1150602221#1,2606.740,990.500,14.210,550
1761732231828044000,1761732231826691000,1.353,43.000,167,veh10,348677546#1,1320.630,1236.240,6.690,550
1761732231828044000,1761732231826904000,1.140,43.000,168,veh11,-416318901#0,2878.760,1272.220,1.990,550
1761732231828044000,1761732231827110000,0.934,43.000,169,veh2,215189962,1063.520,591.710,13.010,550
1761732231828044000,1761732231827310000,0.734,43.000,170,veh3,:7690529888_1,3000.630,1213.320,13.880,550
1761732231828044000,1761732231827516000,0.528,43.000,171,veh5,823695811#11,2177.060,1264.780,27.160,550
1761732231828044000,1761732231827706000,0.338,43.000,172,veh6,157809622#0,1652.210,1395.160,9.890,550
1761732231828044000,1761732231827953000,0.091,43.000,173,veh7,1239033319,1479.170,792.090,10.260,550
1761732231849617000,1761732231847679000,1.938,44.000,174,veh1,:2246173354_6,2610.130,1000.990,11.030,550
1761732231849617000,1761732231847976000,1.641,44.000,175,veh10,348677546#1,1327.070,1233.420,7.030,550
1761732231849617000,1761732231848221000,1.396,44.000,176,veh11,-416318901#0,2878.800,1268.380,3.840,550
1761732231849617000,1761732231848449000,1.168,44.000,177,veh2,215189962,1054.690,600.190,12.240,550
1761732231849617000,1761732231848734000,0.883,44.000,178,veh3,823695811#0,2984.560,1214.110,16.080,550
1761732231849617000,1761732231849037000,0.580,44.000,179,veh5,823695811#11,2148.030,1262.580,29.120,550
1761732231849617000,1761732231849293000,0.324,44.000,180,veh6,157809622#0,1662.960,1392.020,11.190,550
1761732231849617000,1761732231849536000,0.081,44.000,181,veh7,1239033319,1477.320,802.190,10.430,550
1761732231870409000,1761732231868614000,1.795,45.000,182,veh1,-1150602221#0,2612.090,1008.870,8.110,571
1761732231870409000,1761732231868869000,1.540,45.000,183,veh10,:cluster_11810848498_3547296191_8,1333.360,1231.640,6.650,571
1761732231870409000,1761732231869114000,1.295,45.000,184,veh11,-416318901#0,2878.870,1261.990,6.390,571
1761732231870409000,1761732231869443000,0.966,45.000,185,veh2,215189962,1045.800,608.720,12.320,571
1761732231870409000,1761732231869671000,0.738,45.000,186,veh3,823695811#0,2966.870,1214.980,17.710,571
1761732231870409000,1761732231869917000,0.492,45.000,187,veh5,823695811#11,2118.000,1261.970,30.030,571
1761732231870409000,1761732231870129000,0.280,45.000,188,veh6,157809622#0,1675.290,1388.420,12.850,571
1761732231870409000,1761732231870345000,0.064,45.000,189,veh7,1239033319,1479.220,813.550,11.520,571
1761732231892311000,1761732231890596000,1.715,46.000,190,veh1,:3547295952_5,2611.030,1014.090,5.750,551
1761732231892311000,1761732231890816000,1.495,46.000,191,veh10,-1271885430#1,1337.520,1235.850,6.290,551
1761732231892311000,1761732231891037000,1.274,46.000,192,veh11,-416318901#0,2878.950,1254.180,7.810,551
1761732231892311000,1761732231891257000,1.054,46.000,193,veh2,215189962,1036.480,617.660,12.920,551
1761732231892311000,1761732231891550000,0.761,46.000,194,veh3,823695811#0,2947.620,1215.500,19.260,551
1761732231892311000,1761732231891771000,0.540,46.000,195,veh5,823695811#11,2089.220,1264.640,28.950,551
1761732231892311000,1761732231891998000,0.313,46.000,196,veh6,157809622#1,1689.600,1384.540,14.820,551
1761732231892311000,1761732231892220000,0.091,46.000,197,veh7,1239033319,1481.070,824.150,10.770,551
1761732231912990000,1761732231911228000,1.762,47.000,198,veh1,-215087578#1,2604.980,1014.900,6.250,553
1761732231912990000,1761732231911472000,1.518,47.000,199,veh10,:11810960895_6,1340.690,1243.770,8.530,553
1761732231912990000,1761732231911708000,1.282,47.000,200,veh11,-416318901#0,2878.890,1244.740,9.450,553
1761732231912990000,1761732231911942000,1.048,47.000,201,veh2,215189962,1027.180,626.580,12.890,553
1761732231912990000,1761732231912185000,0.805,47.000,202,veh3,:7690525273_1,2925.840,1215.080,21.790,553
1761732231912990000,1761732231912418000,0.572,47.000,203,veh5,823695811#12,2060.070,1271.660,30.000,553
1761732231912990000,1761732231912640000,0.350,47.000,204,veh6,157809622#1,1705.760,1380.270,16.710,553
1761732231912990000,1761732231912904000,0.086,47.000,205,veh7,1239033319,1483.060,835.500,11.520,553
1761732231933256000,1761732231931374000,1.882,48.000,206,veh1,-215087578#1,2597.050,1014.650,7.940,551
1761732231933256000,1761732231931636000,1.620,48.000,207,veh10,-1271885430#0,1344.760,1253.950,10.960,551
1761732231933256000,1761732231931918000,1.338,48.000,208,veh11,-416318901#0,2878.310,1238.290,6.470,551
1761732231933256000,1761732231932251000,1.005,48.000,209,veh2,215189962,1018.650,634.780,11.830,551
1761732231933256000,1761732231932524000,0.732,48.000,210,veh3,823695811#1,2901.700,1215.590,24.150,551
1761732231933256000,1761732231932757000,0.499,48.000,211,veh5,823695811#12,2032.950,1279.350,28.190,551
1761732231933256000,1761732231932985000,0.271,48.000,212,veh6,157809622#1,1723.710,1375.530,18.570,551
1761732231933256000,1761732231933187000,0.069,48.000,213,veh7,1239033319,1484.910,846.090,10.760,551
1761732231954905000,1761732231952936000,1.969,49.000,214,veh1,-215087578#1,2587.790,1014.350,9.260,552
1761732231954905000,1761732231953196000,1.709,49.000,215,veh10,-1271885430#0,1349.480,1265.750,12.710,552
1761732231954905000,1761732231953457000,1.448,49.000,216,veh11,:1318407375_0,2878.170,1233.040,5.260,552
1761732231954905000,1761732231953719000,1.186,49.000,217,veh2,215189962,1009.430,643.620,12.770,552
1761732231954905000,1761732231953951000,0.954,49.000,218,veh3,823695811#1,2875.240,1216.700,26.490,552
1761732231954905000,1761732231954203000,0.702,49.000,219,veh5,823695811#13,2010.020,1287.340,24.280,552
1761732231954905000,1761732231954451000,0.454,49.000,220,veh6,157809622#1,1744.010,1370.180,21.000,552
1761732231954905000,1761732231954710000,0.195,49.000,221,veh7,1239033319,1486.840,857.090,11.160,552
1761732231976857000,1761732231974909000,1.948,50.000,222,veh1,-215087578#1,2576.010,1013.980,11.780,553
1761732231976857000,1761732231975200000,1.657,50.000,223,veh10,-1271885430#0,1352.310,1279.580,14.140,553
1761732231976857000,1761732231975564000,1.293,50.000,224,veh11,:1318407375_0,2881.560,1229.780,5.030,553
1761732231976857000,1761732231975837000,1.020,50.000,225,veh2,215189962,1000.170,652.510,12.840,553
